id,stationName,longitude,latitude
130,Damen Ave & Division St,-87.678435,41.903266
131,Lincoln Ave & Belmont Ave,-87.668385,41.939365
132,Wentworth Ave & 24th St,-87.631715,41.849237
133,Kingsbury St & Kinzie St,-87.6385057718,41.88917683258
134,Peoria St & Jackson Blvd,-87.649633,41.877749
135,Halsted St & 21st St,-87.64665,41.85378
136,Racine Ave & 13th St,-87.656959,41.865054
137,Morgan Ave & 14th Pl,-87.651062,41.862378
138,Clybourn Ave & Division St,-87.640552,41.904613
140,Dearborn Pkwy & Delaware Pl,-87.629912,41.898969
141,Clark St & Lincoln Ave,-87.6346,41.915689
142,McClurg Ct & Erie St,-87.617854,41.894503
143,Sedgwick St & Webster Ave,-87.638888,41.922167
144,Larrabee St & Webster Ave,-87.64414,41.921822
145,Mies van der Rohe Way & Chestnut St,-87.6219152258,41.8985866514
146,Loomis St & Jackson Blvd,-87.662007,41.877945
147,Indiana Ave & 26th St,-87.622481,41.845687
148,State St & 33rd St,-87.625813,41.834734
149,Calumet Ave & 33rd St,-87.61793,41.8349
150,Fort Dearborn Dr & 31st St,-87.608218,41.838556
152,Lincoln Ave & Diversey Pkwy,-87.658617,41.932225
153,Southport Ave & Wellington Ave,-87.663576,41.935733
154,Southport Ave & Belmont Ave,-87.66378,41.93949
156,Clark St & Wellington Ave,-87.6475386582,41.9364968219
157,Lake Shore Dr & Wellington Ave,-87.636794,41.936669
158,Milwaukee Ave & Wabansia Ave,-87.681391,41.912616
159,Claremont Ave & Hirsch St,-87.685854,41.907781
160,Campbell Ave & North Ave,-87.689556,41.910535
161,Rush St & Superior St,-87.6259080327,41.89576474564
162,Damen Ave & Wellington Ave,-87.67842,41.93588
163,Damen Ave & Clybourn Ave,-87.677856,41.931931
164,Franklin St & Lake St,-87.6355,41.885837
165,Clark St & Grace St,-87.659172,41.95078
166,Ashland Ave & Wrightwood Ave,-87.668507,41.92883
167,Damen Ave & Coulter St,-87.67564,41.8492
168,Michigan Ave & 14th St,-87.623727,41.864059
169,Canal St & Harrison St,-87.639573,41.874255
170,Clinton St & 18th St,-87.640826,41.85795
171,May St & Cullerton St,-87.654127,41.855136
172,Rush St & Cedar St,-87.627690528,41.90230870122
173,Mies van der Rohe Way & Chicago Ave,-87.621743,41.89691
174,Canal St & Madison St,-87.639833,41.882091
175,Wells St & Polk St,-87.633502,41.872596
176,Clark St & Elm St,-87.63128,41.902973
177,Theater on the Lake,-87.630834,41.926277
178,State St & 19th St,-87.627542,41.856594
179,MLK Jr Dr & Pershing Rd,-87.61678,41.8246
180,Ritchie Ct & Banks St,-87.626217,41.906866
181,LaSalle St & Illinois St,-87.631697,41.890762
182,Wells St & Elm St,-87.634324,41.903222
183,Damen Ave & Thomas St (Augusta Blvd),-87.677409,41.901315
184,State St & 35th St,-87.62803,41.8309
185,Stave St & Armitage Ave,-87.691392,41.917741
186,Ogden Ave & Race Ave,-87.658751,41.891795
188,Greenview Ave & Fullerton Ave,-87.6658,41.92533
190,Southport Ave & Wrightwood Ave,-87.663913,41.928773
191,Canal St & Monroe St (*),-87.639507,41.880381
192,Canal St & Adams St,-87.639904,41.879255
193,State St & 29th St,-87.626938,41.841707
194,Wabash Ave & Wacker Pl,-87.62603,41.886875
195,Columbus Dr & Randolph St,-87.619521,41.884728
